date,time,tz,value,event
1/1/2018,4:42,PST,0.83,Low
1/1/2018,10:40,PST,2.69,High
1/1/2018,17:44,PST,-0.52,Low
1/2/2018,0:17,PST,2.07,High
1/2/2018,5:34,PST,0.8,Low
1/2/2018,11:30,PST,2.71,High
1/2/2018,18:31,PST,-0.57,Low
1/3/2018,1:06,PST,2.14,High
1/3/2018,6:27,PST,0.78,Low
1/3/2018,12:20,PST,2.67,High
1/3/2018,19:18,PST,-0.54,Low
1/4/2018,1:54,PST,2.17,High
1/4/2018,7:21,PST,0.76,Low
1/4/2018,13:11,PST,2.55,High
1/4/2018,20:04,PST,-0.43,Low
1/5/2018,2:42,PST,2.18,High
1/5/2018,8:17,PST,0.75,Low
1/5/2018,14:04,PST,2.37,High
1/5/2018,20:51,PST,-0.26,Low
1/6/2018,3:30,PST,2.18,High
1/6/2018,9:16,PST,0.74,Low
1/6/2018,15:00,PST,2.15,High
1/6/2018,21:39,PST,-0.03,Low
1/7/2018,4:20,PST,2.17,High
1/7/2018,10:21,PST,0.72,Low
1/7/2018,16:01,PST,1.91,High
1/7/2018,22:28,PST,0.21,Low
1/8/2018,5:10,PST,2.17,High
1/8/2018,11:31,PST,0.67,Low
1/8/2018,17:11,PST,1.71,High
1/8/2018,23:21,PST,0.45,Low
1/9/2018,6:01,PST,2.16,High
1/9/2018,12:43,PST,0.58,Low
1/9/2018,18:29,PST,1.57,High
1/10/2018,0:17,PST,0.67,Low
1/10/2018,6:53,PST,2.17,High
1/10/2018,13:50,PST,0.46,Low
1/10/2018,19:51,PST,1.53,High
1/11/2018,1:16,PST,0.83,Low
1/11/2018,7:42,PST,2.19,High
1/11/2018,14:49,PST,0.33,Low
1/11/2018,21:06,PST,1.57,High
1/12/2018,2:15,PST,0.95,Low
1/12/2018,8:29,PST,2.21,High
1/12/2018,15:38,PST,0.2,Low
1/12/2018,22:06,PST,1.64,High
1/13/2018,3:10,PST,1,Low
1/13/2018,9:13,PST,2.24,High
1/13/2018,16:21,PST,0.09,Low
1/13/2018,22:54,PST,1.72,High
1/14/2018,3:58,PST,1.02,Low
1/14/2018,9:54,PST,2.27,High
1/14/2018,16:59,PST,0.01,Low
1/14/2018,23:34,PST,1.79,High
1/15/2018,4:42,PST,1.01,Low
1/15/2018,10:32,PST,2.29,High
1/15/2018,17:35,PST,-0.06,Low
1/16/2018,0:09,PST,1.85,High
1/16/2018,5:21,PST,0.98,Low
1/16/2018,11:10,PST,2.3,High
1/16/2018,18:10,PST,-0.1,Low
1/17/2018,0:43,PST,1.89,High
1/17/2018,5:59,PST,0.95,Low
1/17/2018,11:46,PST,2.29,High
1/17/2018,18:43,PST,-0.11,Low
1/18/2018,1:16,PST,1.92,High
1/18/2018,6:36,PST,0.92,Low
1/18/2018,12:21,PST,2.26,High
1/18/2018,19:15,PST,-0.09,Low
1/19/2018,1:49,PST,1.94,High
1/19/2018,7:14,PST,0.9,Low
1/19/2018,12:57,PST,2.2,High
1/19/2018,19:48,PST,-0.05,Low
1/20/2018,2:23,PST,1.96,High
1/20/2018,7:54,PST,0.87,Low
1/20/2018,13:35,PST,2.11,High
1/20/2018,20:21,PST,0.04,Low
1/21/2018,2:57,PST,1.98,High
1/21/2018,8:37,PST,0.84,Low
1/21/2018,14:16,PST,1.99,High
1/21/2018,20:55,PST,0.15,Low
1/22/2018,3:33,PST,2,High
1/22/2018,9:27,PST,0.8,Low
1/22/2018,15:05,PST,1.86,High
1/22/2018,21:32,PST,0.3,Low
1/23/2018,4:12,PST,2.04,High
1/23/2018,10:25,PST,0.73,Low
1/23/2018,16:04,PST,1.71,High
1/23/2018,22:15,PST,0.48,Low
1/24/2018,4:55,PST,2.09,High
1/24/2018,11:31,PST,0.62,Low
1/24/2018,17:18,PST,1.59,High
1/24/2018,23:05,PST,0.66,Low
1/25/2018,5:45,PST,2.16,High
1/25/2018,12:42,PST,0.47,Low
1/25/2018,18:43,PST,1.53,High
1/26/2018,0:07,PST,0.81,Low
1/26/2018,6:40,PST,2.24,High
1/26/2018,13:51,PST,0.26,Low
1/26/2018,20:09,PST,1.57,High
1/27/2018,1:18,PST,0.92,Low
1/27/2018,7:39,PST,2.34,High
1/27/2018,14:53,PST,0.04,Low
1/27/2018,21:22,PST,1.69,High
1/28/2018,2:28,PST,0.94,Low
1/28/2018,8:38,PST,2.44,High
1/28/2018,15:49,PST,-0.18,Low
1/28/2018,22:23,PST,1.83,High
1/29/2018,3:33,PST,0.9,Low
1/29/2018,9:35,PST,2.55,High
1/29/2018,16:41,PST,-0.35,Low
1/29/2018,23:14,PST,1.97,High
1/30/2018,4:31,PST,0.81,Low
1/30/2018,10:29,PST,2.62,High
1/30/2018,17:29,PST,-0.46,Low
1/31/2018,0:01,PST,2.08,High
1/31/2018,5:25,PST,0.71,Low
1/31/2018,11:21,PST,2.63,High
1/31/2018,18:15,PST,-0.49,Low
2/1/2018,0:45,PST,2.17,High
2/1/2018,6:18,PST,0.61,Low
2/1/2018,12:12,PST,2.59,High
2/1/2018,18:59,PST,-0.44,Low
2/2/2018,1:28,PST,2.23,High
2/2/2018,7:09,PST,0.54,Low
2/2/2018,13:02,PST,2.48,High
2/2/2018,19:42,PST,-0.31,Low
2/3/2018,2:10,PST,2.25,High
2/3/2018,8:00,PST,0.5,Low
2/3/2018,13:52,PST,2.3,High
2/3/2018,20:24,PST,-0.12,Low
2/4/2018,2:52,PST,2.24,High
2/4/2018,8:53,PST,0.49,Low
2/4/2018,14:44,PST,2.1,High
2/4/2018,21:07,PST,0.11,Low
2/5/2018,3:35,PST,2.21,High
2/5/2018,9:49,PST,0.49,Low
2/5/2018,15:40,PST,1.87,High
2/5/2018,21:50,PST,0.37,Low
2/6/2018,4:19,PST,2.17,High
2/6/2018,10:50,PST,0.51,Low
2/6/2018,16:43,PST,1.68,High
2/6/2018,22:37,PST,0.61,Low
2/7/2018,5:07,PST,2.11,High
2/7/2018,11:56,PST,0.5,Low
2/7/2018,17:57,PST,1.53,High
2/7/2018,23:30,PST,0.83,Low
2/8/2018,5:58,PST,2.07,High
2/8/2018,13:05,PST,0.46,Low
2/8/2018,19:20,PST,1.48,High
2/9/2018,0:33,PST,0.98,Low
2/9/2018,6:53,PST,2.04,High
2/9/2018,14:10,PST,0.39,Low
2/9/2018,20:41,PST,1.52,High
2/10/2018,1:42,PST,1.07,Low
2/10/2018,7:49,PST,2.05,High
2/10/2018,15:06,PST,0.29,Low
2/10/2018,21:44,PST,1.6,High
2/11/2018,2:45,PST,1.07,Low
2/11/2018,8:42,PST,2.08,High
2/11/2018,15:54,PST,0.19,Low
2/11/2018,22:31,PST,1.68,High
2/12/2018,3:38,PST,1.03,Low
2/12/2018,9:30,PST,2.13,High
2/12/2018,16:34,PST,0.09,Low
2/12/2018,23:08,PST,1.77,High
