Date,Stipe,Bulb,Blade,Ho Fa,Single,Group,Subst,Sub2,CoSp1,CoSp2,CoSp3,Notes
2018-04-08,2.5,NA,NA,NA,0,1,Nl,none,none,none,none,Cluster 2.5-10.5
2018-04-08,8,NA,NA,NA,0,1,Nl,none,none,none,none,NA
2018-04-08,8.5,NA,NA,NA,0,1,Nl,none,none,none,none,NA
2018-04-08,10.5,NA,NA,NA,0,1,Ls,none,none,none,none,NA
2018-04-08,5,NA,NA,NA,0,1,Nl,none,none,none,none,Cluster 5-17
2018-04-08,4,NA,NA,NA,0,1,Nl,none,none,none,none,NA
2018-04-08,11,NA,NA,NA,0,1,Nl,none,none,none,none,NA
2018-04-08,11,NA,NA,NA,0,1,Nl,none,none,none,none,NA
2018-04-08,17,NA,NA,NA,0,1,Ba,none,none,none,none,NA
2018-04-08,3.5,NA,NA,NA,0,1,Nl,none,none,none,none,Cluster 3.5-13.5
2018-04-08,6,NA,NA,NA,0,1,Nl,none,none,none,none,NA
2018-04-08,6.5,NA,NA,NA,0,1,Nl,none,none,none,none,NA
2018-04-08,9.5,NA,NA,NA,0,1,Nl,none,none,none,none,NA
2018-04-08,13.5,NA,NA,NA,0,1,U,none,none,none,none,NA
2018-04-08,3.5,NA,NA,NA,0,1,Nl,none,none,none,none,Cluster 3.5-11.5
2018-04-08,7.5,NA,NA,NA,0,1,Nl,none,none,none,none,NA
2018-04-08,11.5,NA,NA,NA,0,1,U,none,none,none,none,NA
2018-04-08,3.5,NA,NA,NA,0,1,Nl,none,none,none,none,Cluster 3.5-4.5
2018-04-08,4,NA,NA,NA,0,1,Nl,none,none,none,none,NA
2018-04-08,4.5,NA,NA,NA,0,1,Ls,none,none,none,none,NA
2018-04-08,4.5,NA,NA,NA,0,1,Ls,none,none,none,none,NA
2018-04-08,4.5,NA,NA,NA,0,1,Ls,none,none,none,none,NA
2018-04-08,17,NA,NA,NA,0,1,Nl,none,none,none,none,Cluster 17-41
2018-04-08,41,NA,NA,NA,0,1,U,none,none,none,none,NA
2018-04-08,1.5,NA,NA,NA,0,1,Nl,none,none,none,none,Cluster 1.5-96
2018-04-08,11.5,NA,NA,NA,0,1,Nl,none,none,none,none,NA
2018-04-08,12.5,NA,NA,NA,0,1,Nl,none,none,none,none,NA
2018-04-08,17.5,NA,NA,NA,0,1,Nl,none,none,none,none,NA
2018-04-08,96,NA,NA,NA,0,1,Ba,none,none,none,none,NA
2018-04-08,3.5,NA,NA,NA,0,1,Nl,none,none,none,none,Cluster 3.5-9.5
2018-04-08,4,NA,NA,NA,0,1,Nl,none,none,none,none,NA
2018-04-08,9.5,NA,NA,NA,0,1,Ls,none,none,none,none,NA
2018-04-08,4,NA,NA,NA,0,1,Nl,none,none,none,none,Cluster 4-10
2018-04-08,9,NA,NA,NA,0,1,Nl,none,none,none,none,NA
2018-04-08,10,NA,NA,NA,0,1,U,none,none,none,none,NA
2018-04-08,5.5,NA,NA,NA,0,1,Nl,none,none,none,none,Cluster 5.5-16.5
2018-04-08,16.5,NA,NA,NA,0,1,Ba,none,none,none,none,NA
2018-04-08,5,NA,NA,NA,0,1,Nl,none,none,none,none,Cluster 5-13.5
2018-04-08,6.5,NA,NA,NA,0,1,Nl,none,none,none,none,NA
2018-04-08,6.5,NA,NA,NA,0,1,Nl,none,none,none,none,NA
2018-04-08,12.5,NA,NA,NA,0,1,Nl,none,none,none,none,NA
2018-04-08,13.5,NA,NA,NA,0,1,Ba,none,none,none,none,NA
2018-04-08,4,NA,NA,NA,0,1,Nl,none,none,none,none,Cluster 4-42
2018-04-08,7,NA,NA,NA,0,1,Nl,none,none,none,none,NA
2018-04-08,11,NA,NA,NA,0,1,Nl,none,none,none,none,NA
2018-04-08,14,NA,NA,NA,0,1,Nl,none,none,none,none,NA
2018-04-08,42,NA,NA,NA,0,1,Ls,none,none,none,none,NA
2018-04-08,3.5,NA,NA,NA,0,1,Nl,none,none,none,none,Cluster 3.5-20
