Cosp = Cospecies
Aj = Analipus japonicus
Am = Alaria marginata
An = Antithamionella pacifica
Bo = Bossiella sp.
Cc = Callophyllis crenulata
Cf = Callophyllis fabellulata
Cl = Callophyllis linearis
Cp = Callophyllis pinnata
Co = Costaria costata
Dc = Dilsea californica
Dl = Desmarestia linglata
Em = Egregia menziesii
Hc = Hymenena cuneifolia
Hf = Hymenena flabelligera
Hm = Hymenena multiloba
Hy = hydroid
Is = Isabbottia ovalifolia
Ll = Lessoniopsis littoralis
Ls = Laminaria setchellii
Mp = Macrocystis pyrifera
Md = Membranoptera dimorpha
Ms = Mazzaella splendens
Ml = Mazzaella linearis
Mw = Membranoptera weeksiae
Od = Odonthalia washingtoniensis
Pc = Plocamium cartilagineum
Pd = Pterosiphonia dendroidea
Pl = Polyneura latissima
Pp = Polysiphonia pacifica
Pr = Prionitis lanceolata
Pt = Pterosiphonia bipinnata
Rp = Rhodymenia pacifica
Ul = Ulva lactuca
