date,stipe_length,stipe_diam_cm,stipe_wt_kg,subbulb_diam_cm,bulb_diam_cm,longest_blade_cm,widest_blade_cm,blade_num,canopy_wt_kg
5/5/2019,389,1.6,2.3,5.9,8.6,170,6,nd,3.1
5/6/2019,618,1.8,4.4,5.6,6.9,354,5.9,nd,6.8
5/7/2019,454,1.2,nd,5.1,7.2,nd,5.8,nd,1.9
5/7/2019,759,0.8,nd,3.4,5.9,nd,7.2,nd,3.6
5/7/2019,369,1.2,nd,4,7.6,nd,5.2,nd,2.2
5/9/2019,276,1.7,1.7,5.4,8,317,6.9,51,3.2
5/9/2019,585,1.7,nd,5.5,8.5,316,5.7,22,1.7
8/21/2019,273,nd,nd,nd,6.9,nd,nd,nd,1.1
8/22/2019,219,nd,nd,nd,5.8,nd,5.1,nd,1
8/22/2019,187,nd,nd,nd,7.6,nd,8,nd,1.3
8/28/2019,406,nd,nd,nd,5.8,nd,6.2,nd,1
8/28/2019,281,nd,nd,nd,5.8,nd,5.5,nd,1.2
8/29/2019,467,nd,nd,nd,5.7,nd,6.4,nd,1
8/30/2019,223,nd,nd,nd,6.9,nd,6.9,nd,1.3
8/30/2019,133,nd,nd,nd,5.3,nd,5.8,nd,2.2
9/1/2019,783,nd,nd,nd,6.4,nd,7.8,nd,1.9
9/1/2019,298,nd,nd,nd,8.2,nd,6.5,nd,1.3
9/1/2019,371,nd,nd,nd,6.2,nd,6.3,nd,1.3
9/1/2019,377,nd,nd,nd,5.5,nd,7.3,nd,0.7
9/1/2019,543,nd,nd,nd,5.9,nd,7,nd,1.1
9/1/2019,498,nd,nd,nd,6.9,nd,5.8,nd,1.2
