Date,Stipe,Bulb,Blade,Ho Fa,Single,Group,Subst,Sub2,CoSp1,CoSp2,CoSp3,Notes
2018-04-08,19.5,NA,NA,NA,1,0,Ls,none,none,none,none,NA
2018-04-08,7,NA,NA,NA,1,0,U,none,none,none,none,NA
2018-04-08,111,NA,NA,NA,1,0,U,none,none,none,none,NA
2018-04-08,20,NA,NA,NA,1,0,U,none,none,none,none,NA
2018-04-08,8,NA,NA,NA,1,0,U,none,none,none,none,NA
2018-04-08,11,NA,NA,NA,1,0,U,none,none,none,none,NA
2018-04-08,11.5,NA,NA,NA,1,0,U,none,none,none,none,NA
2018-04-08,9.5,NA,NA,NA,1,0,U,none,none,none,none,NA
2018-04-08,8,NA,NA,NA,1,0,U,none,none,none,none,NA
2018-04-08,10,NA,NA,NA,1,0,U,none,none,none,none,NA
2018-04-08,10,NA,NA,NA,1,0,U,none,none,none,none,NA
2018-04-08,27.5,NA,NA,NA,1,0,U,none,none,none,none,NA
2018-04-08,7.5,NA,NA,NA,1,0,U,none,none,none,none,NA
2018-04-08,34,NA,NA,NA,1,0,U,none,none,none,none,NA
2018-04-08,20,NA,NA,NA,1,0,U,none,none,none,none,NA
2018-04-08,24.5,NA,NA,NA,1,0,U,none,none,none,none,NA
2018-04-08,14.5,NA,NA,NA,1,0,U,none,none,none,none,NA
2018-04-08,6,NA,NA,NA,1,0,U,none,none,none,none,NA
2018-04-08,13,NA,NA,NA,1,0,U,none,none,none,none,NA
2018-04-08,18.5,NA,NA,NA,1,0,U,none,none,none,none,NA
2018-04-08,7,NA,NA,NA,1,0,U,none,none,none,none,NA
2018-04-08,9,NA,NA,NA,1,0,U,none,none,none,none,NA
2018-04-08,15,NA,NA,NA,1,0,U,none,none,none,none,NA
2018-04-08,8,NA,NA,NA,1,0,U,none,none,none,none,NA
2018-04-08,8.5,NA,NA,NA,1,0,U,none,none,none,none,NA
2018-04-08,14,NA,NA,NA,1,0,U,none,none,none,none,NA
2018-04-08,7,NA,NA,NA,1,0,U,none,none,none,none,NA
2018-04-08,16,NA,NA,NA,1,0,U,none,none,none,none,NA
2018-04-08,43.5,NA,NA,NA,1,0,U,none,none,none,none,NA
2018-04-08,26.5,NA,NA,NA,1,0,U,none,none,none,none,NA
2018-04-08,20.5,NA,NA,NA,1,0,U,none,none,none,none,NA
2018-04-08,24,NA,NA,NA,1,0,U,none,none,none,none,NA
2018-04-08,12.5,NA,NA,NA,1,0,U,none,none,none,none,NA
2018-04-08,11,NA,NA,NA,1,0,U,none,none,none,none,NA
2018-04-08,12.5,NA,NA,NA,1,0,Ls,none,none,none,none,NA
2018-04-08,22.5,NA,NA,NA,1,0,U,none,none,none,none,NA
2018-04-08,15,NA,NA,NA,1,0,U,none,none,none,none,NA
2018-04-08,15.5,NA,NA,NA,1,0,U,none,none,none,none,NA
2018-04-08,26.5,NA,NA,NA,1,0,U,none,none,none,none,NA
2018-04-08,10,NA,NA,NA,1,0,Gs,none,none,none,none,NA
2018-04-08,13,NA,NA,NA,1,0,U,none,none,none,none,NA
2018-04-08,12,NA,NA,NA,1,0,U,none,none,none,none,NA
2018-04-08,14.5,NA,NA,NA,1,0,U,none,none,none,none,NA
2018-04-08,8,NA,NA,NA,1,0,U,none,none,none,none,NA
2018-04-08,17.5,NA,NA,NA,1,0,U,none,none,none,none,NA
