Subst=Substrate
Am=Alaria marginata
Ba=Barnacles-Balanus crenatus
Br=Bryozoa-Celleporella
Ch=Chiton-Mopalia hindsii
Cc=Callophyllis crenulata
Cl=Callophyllis linearis
Cm=Clam
Cs=Crustose red algae
Cr=Cryptopleura ruprechtiana
Co=Coralline algae
Cy=Cystoseira osmundacea
Do=Dodecaceria fewkesi
Em=Egregia menziesii
Gs=Gooseneck barnacle-Pollicipes polymerus
Hf=Hymenia flabelligera
Ls=Laminaria setchellii
Mu=mussel-Mytilus califorianus
My=Myriogramme variegata
Nl=Nereocystis luetkeana
Pg=Pleurophycus gardneri
Pl=Polyneura latissima
Pt=Pterygophora californica
Ro=rock
Rp=Rhodymenia pacifica
Sa=Saccharina sessilis
Sh=shell
Sp=Sponge-Halichondria panicea
Ss=Slipper shell-Crepipatella lingulata
Tu=Tunicate-Aplidium californicum
U=unknown
UB=Unknown Blade
Cf=Callophyllis fabellulata
